OBJECTID,CODIGO,COMUNA,BARRIO,NOMBRE_BARRIO,SECTOR,INDICADOR_UR,NOMBRE_COMUNA,SHAPE__Area,SHAPE__Length
207,6001,60,01,La Loma,7,R,SAN CRISTOBAL,8109737.90136719,21730.5428211663
208,0814,08,14,San Antonio,3,U,VILLA HERMOSA,160244.347167969,2941.19880408458
209,0610,06,10,Mirador del Doce,2,U,DOCE DE OCTUBRE,61649.4194335938,1313.2783754514
210,7098,70,98,Area De Expansion El Noral,8,,ALTAVISTA,132442.013183594,2519.98571479472
211,1605,16,05,San Bernardo,6,U,BELEN,596090.590820313,3704.14625803681
212,0314,03,14,San José la Cima No. 1,1,U,MANRIQUE,163566.679199219,2194.17008199345
213,0306,03,06,El Pomar,1,U,MANRIQUE,177965.745117188,2185.26439535159
214,0723,07,23,Pajarito,2,U,ROBLEDO,237505.107421875,3154.24993168933
215,5002,50,02,La Frisola,7,R,PALMITAS,16971090.1191406,29075.5501547564
216,5003,50,03,Volcana Guayabal,7,R,PALMITAS,9455471.36181641,15384.9576810434
217,5004,50,04,Palmitas Sector Central,7,R,PALMITAS,6170088.54345703,18228.2060867338
218,0108,01,08,El Compromiso,1,U,POPULAR,89818.6801757813,1776.79502077902
219,1010,10,10,Centro Administrativo,3,U,LA CANDELARIA,140050.619140625,1521.74996158212
220,0504,05,04,Tejelo,2,U,CASTILLA,434306.2578125,3561.66316567453
221,1105,11,05,Los Conquistadores,4,U,LAURELES,695378.345703125,3821.07881250681
222,1313,13,13,El Corazón,4,U,SAN JAVIER,219405.567871094,3327.43925549611
223,6016,60,16,Boqueron,7,R,SAN CRISTOBAL,6176499.15429688,12762.7388721634
224,1016,10,16,Boston,3,U,LA CANDELARIA,545350.031738281,3149.44420595438
225,0817,08,17,La Sierra,3,U,VILLA HERMOSA,223310.737304688,2538.05529762204
226,1501,15,01,El Rodeo,6,U,GUAYABAL,795934.05859375,3986.79327273012
227,7088,70,88,El Corazon El Morro ,8,R,ALTAVISTA,427929.413085938,7368.86040694483
228,0404,04,04,Bermejal-Los Alamos,1,U,ARANJUEZ,162961.342285156,2043.06792163667
229,7002,70,02,Aguas Frias,8,R,ALTAVISTA,13323138.3061523,32885.4048312039
230,7085,70,85,San Pablo,8,R,ALTAVISTA,430372.146484375,5308.17156073205
231,0401,04,01,Berlin,1,U,ARANJUEZ,315339.621582031,2481.26935201443
232,0402,04,02,San Isidro,1,U,ARANJUEZ,431473.756835938,3149.11950788366
233,0807,08,07,Los Mangos,3,U,VILLA HERMOSA,482320.992675781,3544.80761296535
234,0903,09,03,Bomboná No. 2,3,U,BUENOS AIRES,676949.037597656,4333.7782232245
235,8007,80,07,El Astillero,8,R,SAN ANTONIO DE PRADO,17416174.3535156,26772.7452663921
236,1413,14,13,El Diamante No. 2,5,U,EL POBLADO,770000.161132813,4682.33780156135
237,1318,13,18,Antonio Nariño,4,U,SAN JAVIER,442365.308105469,4428.96482764026
238,1202,12,02,Calasanz,4,U,LA AMERICA,319566.924316406,2384.65045958859
239,9086,90,86,SUBURB El Plan,9,R,SANTA ELENA,2064990.51708984,12430.6408463456
240,0719,07,19,Fuente Clara,2,U,ROBLEDO,207906.400390625,2534.65361070903
241,0605,06,05,La Esperanza,2,U,DOCE DE OCTUBRE,412125.606933594,2753.99671812591
242,9077,90,77,Suburbano el Tesoro,9,R,SANTA ELENA,635815.474121094,5409.07377710642
243,9002,90,02,El Llano SE,9,R,SANTA ELENA,1240079.00390625,6108.28256591827
244,1002,10,02,Hospital San Vicente de Paúl,3,U,LA CANDELARIA,86992.9760742188,1235.73349472442
245,0725,07,25,Nueva Villa de la Iguaná,2,U,ROBLEDO,88620.078125,2875.45808134105
246,0912,09,12,El Salvador,3,U,BUENOS AIRES,362199.362304688,3402.00001897086
247,0405,04,05,Moravia,1,U,ARANJUEZ,499781.182617188,4007.04426810797
248,0601,06,01,Santander,2,U,DOCE DE OCTUBRE,417537.218261719,3477.64094031472
249,0718,07,18,Cucaracho,2,U,ROBLEDO,651637.071777344,4855.85782883586
250,1607,16,07,Diego Echavarría,6,U,BELEN,316251.645019531,2638.81181625623
251,5001,50,01,La Suiza,7,R,PALMITAS,11346921.09375,26058.2725589918
252,7096,70,96,Area De Expansion Altavista,8,,ALTAVISTA,133426.698242188,3477.37948616798
253,1312,13,12,Betania,4,U,SAN JAVIER,399009.644042969,3977.9628147906
254,1309,13,09,San Javier No.1,4,U,SAN JAVIER,231236.360351563,2364.32509071125
255,1319,13,19,El Socorro,4,U,SAN JAVIER,167198.375976563,2722.89693615671
256,1203,12,03,Los Pinos,4,U,LA AMERICA,240107.583496094,2110.14100169679
257,1101,11,01,Carlos E. Restrepo,4,U,LAURELES,468046.216308594,3434.46947621599
258,0705,07,05,Facultad de Minas U. Nacional,2,U,ROBLEDO,306983.138183594,2654.98844382479
259,1204,12,04,La América,4,U,LA AMERICA,364138.873535156,3368.43482787479
260,0914,09,14,Asomadera No. 1,3,U,BUENOS AIRES,582919.827636719,3816.06073794658
261,0722,07,22,Olaya Herrera,2,U,ROBLEDO,524563.862304688,4160.13338880782
262,0706,07,06,La Pilarica,2,U,ROBLEDO,310881.139160156,3227.3665573914
263,1117,11,17,Florida Nueva,4,U,LAURELES,253659.905761719,2152.16427486985
264,1510,15,10,Guayabal,6,U,GUAYABAL,760860.385742188,4184.42745017471
265,1103,11,03,Naranjal,4,U,LAURELES,455227.866699219,2946.63482524193
266,0417,04,17,Parque Norte,1,U,ARANJUEZ,292910.873535156,2254.62883285297
267,1213,12,13,Calasanz Parte Alta,4,U,LA AMERICA,502734.881347656,3453.09973779535
268,0107,01,07,San Pablo,1,U,POPULAR,217206.315429688,2678.68053140617
269,0801,08,01,Villa Hermosa,3,U,VILLA HERMOSA,402019.034179688,3086.35055140755
270,0910,09,10,La Milagrosa,3,U,BUENOS AIRES,214503.619140625,2150.85555390966
271,6086,60,86,Suburbano La Cuchilla,7,R,SAN CRISTOBAL,407796.832519531,4521.22218890659
272,1001,10,01,Prado,3,U,LA CANDELARIA,627433.877929688,3441.33071285677
273,0603,06,03,Doce de Octubre No.2,2,U,DOCE DE OCTUBRE,405215.851074219,3506.72221034581
274,1310,13,10,Veinte de Julio,4,U,SAN JAVIER,384817.863769531,3689.24013616338
275,1302,13,02,Blanquizal,4,U,SAN JAVIER,166093.625,2111.97467558236
276,8008,80,08,Yarumalito,8,R,SAN ANTONIO DE PRADO,15093408.737793,26083.7213374162
277,1201,12,01,Ferrini,4,U,LA AMERICA,209957.430664063,2074.29815531318
278,0106,01,06,Villa Guadalupe,1,U,POPULAR,239035.073730469,2650.23202612246
