"","CODIGO","NOMBRE_BARRIO","accidentes"
"311",9083,"Suburbano Mirador del Poblado",459
"312",5089,"Suburbano Palmitas",11
"313",6089,"Suburbano Pedregal alto",1857
"314",9079,"Suburbano Piedra Gorda",459
"315",5087,"Suburbano Potrera Miserenga",11
"316",8089,"Suburbano Potrerito",3513
"317",9084,"Suburbano Santa Elena Central",459
"318",6087,"Suburbano Travesias",1857
"319",5086,"Suburbano Urquita",11
"320",809,"Sucre",5629
"321",1102,"Suramericana",22721
"322",504,"Tejelo",21043
"323",1502,"Tenche",15267
"324",516,"Terminal de Transporte",21043
"325",501,"Toscana",21043
"326",6008,"Travesías",1857
"327",811,"Trece de Noviembre",5629
"328",510,"Tricentenario",21043
"329",1503,"Trinidad",15267
"330",1116,"U.D. Atanasio Girardot",22721
"331",1106,"U.P.B.",22721
"332",406,"Universidad de Antioquia",12031
"333",701,"Universidad Nacional",14018
"334",1310,"Veinte de Julio",3695
"335",309,"Versalles No. 1",6397
"336",310,"Versalles No. 2",6397
"337",1403,"Villa Carlota",17900
"338",207,"Villa del Socorro",2838
"339",715,"Villa Flora",14018
"340",106,"Villa Guadalupe",3082
"341",801,"Villa Hermosa",5629
"342",819,"Villa Liliam",5629
"343",208,"Villa Niza",2838
"344",1018,"Villa Nueva",42348
"345",816,"Villa Turbay",5629
"346",813,"Villatina",5629
"347",5003,"Volcana Guayabal",11
"348",8008,"Yarumalito",3513
"349",6014,"Yolombo",1857
